Timestamp,ts_key,Actual Vol [Tons],Expected Vol [Tons]
2014-01-01,Provider_10-Plant_10,476.199,482.836
2014-01-01,Provider_10-Plant_11,48.491,29.563
2014-01-01,Provider_10-Plant_12,19.437,18.678
2014-01-01,Provider_10-Plant_13,34.612,40.305
2014-01-01,Provider_10-Plant_14,20.969,21.841
2014-01-01,Provider_10-Plant_15,69.042,69.78
2014-01-01,Provider_10-Plant_18,433.328,439.844
2014-01-01,Provider_10-Plant_19,33.549,28.03
2014-01-01,Provider_10-Plant_20,72.351,73.96
2014-01-01,Provider_10-Plant_4,592.48,563.784
2014-01-01,Provider_14-Plant_10,8.28,8.589
2014-01-01,Provider_14-Plant_11,47.04,0.0
2014-01-01,Provider_14-Plant_12,19.294,18.615
2014-01-01,Provider_14-Plant_13,204.763,205.237
2014-01-01,Provider_14-Plant_14,13.291,13.243
2014-01-01,Provider_14-Plant_15,332.164,356.108
2014-01-01,Provider_14-Plant_18,73.648,50.888
2014-01-01,Provider_14-Plant_19,85.655,83.276
2014-01-01,Provider_14-Plant_20,142.947,145.208
2014-01-01,Provider_14-Plant_4,497.429,168.439
2014-01-01,Provider_15-Plant_18,19.833,17.691
2014-01-01,Provider_15-Plant_19,16.206,20.376
2014-01-01,Provider_15-Plant_20,26.223,25.565
2014-01-01,Provider_15-Plant_4,4.369,3.191
2014-01-01,Provider_18-Plant_19,0.222,0.206
2014-01-01,Provider_18-Plant_20,67.69,67.282
2014-01-01,Provider_18-Plant_4,5.194,4.668
2014-01-01,Provider_2-Plant_10,22.419,22.238
2014-01-01,Provider_2-Plant_12,52.719,51.688
2014-01-01,Provider_2-Plant_13,781.777,736.173
2014-01-01,Provider_2-Plant_14,205.889,201.117
2014-01-01,Provider_2-Plant_15,493.002,496.699
2014-01-01,Provider_2-Plant_18,435.779,370.831
2014-01-01,Provider_2-Plant_19,428.194,407.641
2014-01-01,Provider_2-Plant_20,173.523,161.277
2014-01-01,Provider_2-Plant_4,585.657,581.704
2014-01-01,Provider_20-Plant_10,145.379,144.589
2014-01-01,Provider_20-Plant_12,276.052,211.814
2014-01-01,Provider_20-Plant_13,987.439,988.018
2014-01-01,Provider_20-Plant_14,170.627,169.943
2014-01-01,Provider_20-Plant_15,457.297,500.667
2014-01-01,Provider_20-Plant_18,503.853,485.507
2014-01-01,Provider_20-Plant_19,654.783,693.43
2014-01-01,Provider_20-Plant_20,145.078,148.775
2014-01-01,Provider_20-Plant_4,1440.001,1198.802
2014-01-01,Provider_20-Plant_6,439.586,278.324
2014-01-01,Provider_21-Plant_10,111.077,126.905
2014-01-01,Provider_21-Plant_11,0.723,0.716
2014-01-01,Provider_21-Plant_12,99.675,99.003
2014-01-01,Provider_21-Plant_13,662.379,623.832
2014-01-01,Provider_21-Plant_14,60.802,57.424
2014-01-01,Provider_21-Plant_15,347.655,341.622
2014-01-01,Provider_21-Plant_18,402.079,556.47
2014-01-01,Provider_21-Plant_19,652.828,647.986
2014-01-01,Provider_21-Plant_20,338.862,313.115
2014-01-01,Provider_21-Plant_4,2305.348,1821.764
2014-01-01,Provider_21-Plant_6,707.097,568.026
2014-01-01,Provider_22-Plant_10,123.417,126.645
2014-01-01,Provider_22-Plant_12,262.579,79.077
2014-01-01,Provider_22-Plant_13,381.838,385.121
2014-01-01,Provider_22-Plant_14,6.31,6.34
2014-01-01,Provider_22-Plant_15,130.208,114.11
2014-01-01,Provider_22-Plant_18,23.028,21.358
2014-01-01,Provider_22-Plant_19,355.833,285.725
2014-01-01,Provider_22-Plant_20,4.081,4.284
2014-01-01,Provider_22-Plant_4,1960.401,1286.759
2014-01-01,Provider_22-Plant_6,79.771,54.839
2014-01-01,Provider_24-Plant_10,175.304,159.091
2014-01-01,Provider_24-Plant_12,91.45,94.071
2014-01-01,Provider_24-Plant_13,733.24,707.712
2014-01-01,Provider_24-Plant_14,118.013,121.237
2014-01-01,Provider_24-Plant_15,665.294,744.861
2014-01-01,Provider_24-Plant_18,434.283,362.102
2014-01-01,Provider_24-Plant_19,686.819,679.506
2014-01-01,Provider_24-Plant_20,138.005,142.492
2014-01-01,Provider_24-Plant_4,1205.289,785.245
2014-01-01,Provider_24-Plant_6,668.443,558.074
2014-01-01,Provider_25-Plant_10,76.879,75.121
2014-01-01,Provider_25-Plant_12,132.177,99.784
2014-01-01,Provider_25-Plant_13,973.217,982.672
2014-01-01,Provider_25-Plant_14,213.051,206.363
2014-01-01,Provider_25-Plant_15,653.278,660.002
2014-01-01,Provider_25-Plant_18,353.49,315.07
2014-01-01,Provider_25-Plant_19,1048.66,1016.611
2014-01-01,Provider_25-Plant_20,168.622,167.856
2014-01-01,Provider_25-Plant_4,1009.758,965.639
2014-01-01,Provider_25-Plant_6,474.73,375.427
2014-01-01,Provider_27-Plant_10,47.744,44.756
2014-01-01,Provider_27-Plant_11,981.582,798.697
2014-01-01,Provider_27-Plant_12,11.305,10.877
