,Timestamp,ts_key,Actual Vol [Tons],Expected Vol [Tons],Plant,Production
0,2014-01-01,Provider_10-Plant_10,476.199,482.836,Plant_10,3633
1,2014-02-01,Provider_10-Plant_10,388.113,388.118,Plant_10,2880
2,2014-03-01,Provider_10-Plant_10,527.383,538.025,Plant_10,4165
3,2014-04-01,Provider_10-Plant_10,470.322,483.035,Plant_10,4457
4,2014-05-01,Provider_10-Plant_10,500.139,512.686,Plant_10,4035
5,2014-06-01,Provider_10-Plant_10,591.797,609.53,Plant_10,4602
6,2014-07-01,Provider_10-Plant_10,381.032,389.836,Plant_10,3657
7,2014-08-01,Provider_10-Plant_10,511.084,528.216,Plant_10,4074
8,2014-09-01,Provider_10-Plant_10,568.333,586.337,Plant_10,5032
9,2014-10-01,Provider_10-Plant_10,486.816,499.251,Plant_10,4879
10,2014-11-01,Provider_10-Plant_10,369.141,382.354,Plant_10,3900
11,2014-12-01,Provider_10-Plant_10,296.022,305.183,Plant_10,2886
12,2015-01-01,Provider_10-Plant_10,447.677,458.124,Plant_10,3555
13,2015-02-01,Provider_10-Plant_10,501.744,516.265,Plant_10,4200
14,2015-03-01,Provider_10-Plant_10,623.419,644.123,Plant_10,4946
15,2015-04-01,Provider_10-Plant_10,557.156,571.629,Plant_10,4529
16,2015-05-01,Provider_10-Plant_10,455.79,462.512,Plant_10,3997
17,2015-06-01,Provider_10-Plant_10,579.18,595.025,Plant_10,5132
18,2015-07-01,Provider_10-Plant_10,472.03,492.948,Plant_10,4214
19,2015-08-01,Provider_10-Plant_10,454.81,468.136,Plant_10,3773
20,2015-09-01,Provider_10-Plant_10,637.742,656.045,Plant_10,5042
21,2015-10-01,Provider_10-Plant_10,650.249,665.555,Plant_10,5208
22,2015-11-01,Provider_10-Plant_10,441.398,463.088,Plant_10,4907
23,2015-12-01,Provider_10-Plant_10,289.19,301.671,Plant_10,3897
24,2016-01-01,Provider_10-Plant_10,345.407,366.71,Plant_10,3816
25,2016-02-01,Provider_10-Plant_10,449.495,472.572,Plant_10,5342
26,2016-03-01,Provider_10-Plant_10,416.601,441.042,Plant_10,4978
27,2016-04-01,Provider_10-Plant_10,391.726,414.512,Plant_10,5342
28,2016-05-01,Provider_10-Plant_10,400.341,425.157,Plant_10,4675
29,2016-06-01,Provider_10-Plant_10,417.314,443.158,Plant_10,5184
30,2016-07-01,Provider_10-Plant_10,391.716,415.531,Plant_10,4995
31,2016-08-01,Provider_10-Plant_10,171.027,182.789,Plant_10,1646
32,2016-09-01,Provider_10-Plant_10,457.816,477.825,Plant_10,5490
33,2016-10-01,Provider_10-Plant_10,447.924,462.801,Plant_10,4807
34,2016-11-01,Provider_10-Plant_10,457.972,472.772,Plant_10,5414
35,2016-12-01,Provider_10-Plant_10,248.948,261.276,Plant_10,3935
36,2017-01-01,Provider_10-Plant_10,265.382,277.407,Plant_10,2952
37,2017-02-01,Provider_10-Plant_10,431.881,452.436,Plant_10,5060
38,2017-03-01,Provider_10-Plant_10,465.011,492.394,Plant_10,5718
39,2017-04-01,Provider_10-Plant_10,110.476,117.504,Plant_10,1248
40,2017-05-01,Provider_10-Plant_10,304.381,321.133,Plant_10,5253
41,2017-06-01,Provider_10-Plant_10,468.439,480.193,Plant_10,5597
42,2017-07-01,Provider_10-Plant_10,353.926,365.319,Plant_10,5253
43,2017-08-01,Provider_10-Plant_10,335.26,0.0,Plant_10,5253
44,2017-09-01,Provider_10-Plant_10,283.261,293.72,Plant_10,3592
45,2017-10-01,Provider_10-Plant_10,344.435,359.267,Plant_10,4025
46,2017-11-01,Provider_10-Plant_10,480.52,497.254,Plant_10,4625
47,2017-12-01,Provider_10-Plant_10,303.142,317.081,Plant_10,3269
48,2018-01-01,Provider_10-Plant_10,124.032,124.818,Plant_10,1424
49,2018-02-01,Provider_10-Plant_10,380.027,395.072,Plant_10,5029
50,2018-03-01,Provider_10-Plant_10,419.665,422.125,Plant_10,5462
51,2018-04-01,Provider_10-Plant_10,325.704,332.303,Plant_10,5016
52,2018-05-01,Provider_10-Plant_10,328.285,334.747,Plant_10,5016
53,2018-06-01,Provider_10-Plant_10,387.586,389.684,Plant_10,5469
54,2018-07-01,Provider_10-Plant_10,223.502,239.534,Plant_10,5728
55,2018-08-01,Provider_10-Plant_10,183.809,190.633,Plant_10,2688
56,2018-09-01,Provider_10-Plant_10,320.637,322.828,Plant_10,4413
57,2018-10-01,Provider_10-Plant_10,440.175,388.137,Plant_10,5457
58,2018-11-01,Provider_10-Plant_10,430.339,448.612,Plant_10,5077
59,2018-12-01,Provider_10-Plant_10,244.225,239.78,Plant_10,3421
60,2019-01-01,Provider_10-Plant_10,378.599,373.628,Plant_10,5876
61,2019-02-01,Provider_10-Plant_10,371.063,382.458,Plant_10,5340
62,2019-03-01,Provider_10-Plant_10,427.357,407.912,Plant_10,5073
63,2019-04-01,Provider_10-Plant_10,351.516,315.056,Plant_10,4946
64,2019-05-01,Provider_10-Plant_10,316.307,331.974,Plant_10,5000
65,2019-06-01,Provider_10-Plant_10,338.641,355.692,Plant_10,4909
66,2019-07-01,Provider_10-Plant_10,118.371,122.002,Plant_10,2484
67,2019-08-01,Provider_10-Plant_10,211.098,182.772,Plant_10,3016
68,2019-09-01,Provider_10-Plant_10,500.334,286.191,Plant_10,4305
69,2019-10-01,Provider_10-Plant_10,310.034,300.718,Plant_10,3536
70,2019-11-01,Provider_10-Plant_10,289.509,285.797,Plant_10,4344
71,2019-12-01,Provider_10-Plant_10,102.5,108.189,Plant_10,2171
72,2020-01-01,Provider_10-Plant_10,292.8,304.27,Plant_10,3279
73,2020-02-01,Provider_10-Plant_10,329.092,343.574,Plant_10,4972
74,2020-03-01,Provider_10-Plant_10,306.575,314.396,Plant_10,3599
75,2020-04-01,Provider_10-Plant_10,0.0,0.0,Plant_10,0
76,2020-05-01,Provider_10-Plant_10,192.411,206.243,Plant_10,3291
77,2020-06-01,Provider_10-Plant_10,260.032,273.598,Plant_10,5262
78,2020-07-01,Provider_10-Plant_10,310.361,323.879,Plant_10,5091
79,2020-08-01,Provider_10-Plant_10,232.561,237.498,Plant_10,4842
80,2020-09-01,Provider_10-Plant_10,246.607,256.65,Plant_10,5459
81,2020-10-01,Provider_10-Plant_10,215.467,217.964,Plant_10,5333
82,2020-11-01,Provider_10-Plant_10,196.127,202.32,Plant_10,4956
83,2020-12-01,Provider_10-Plant_10,104.739,106.572,Plant_10,3201
84,2021-01-01,Provider_10-Plant_10,63.472,67.149,Plant_10,637
85,2021-02-01,Provider_10-Plant_10,182.822,185.86,Plant_10,4816
86,2021-03-01,Provider_10-Plant_10,282.552,291.424,Plant_10,5438
87,2021-04-01,Provider_10-Plant_10,208.453,214.565,Plant_10,5593
88,2021-05-01,Provider_10-Plant_10,191.493,196.113,Plant_10,5264
89,2021-06-01,Provider_10-Plant_10,302.801,316.501,Plant_10,6235
90,2021-07-01,Provider_10-Plant_10,193.408,197.715,Plant_10,4824
91,2021-08-01,Provider_10-Plant_10,129.362,135.146,Plant_10,3259
92,2021-09-01,Provider_10-Plant_10,178.506,185.864,Plant_10,2780
93,2021-10-01,Provider_10-Plant_10,181.785,187.116,Plant_10,2930
94,2021-11-01,Provider_10-Plant_10,253.402,255.138,Plant_10,5592
