,Timestamp,Provider,Plant,Actual Vol [Kg],Expected Vol [Kg]
0,2015/07,Provider_1,Plant_1,19096,20298
1,2015/08,Provider_1,Plant_1,187139,189973
2,2015/09,Provider_1,Plant_1,181149,187798
3,2015/10,Provider_1,Plant_1,202677,202327
4,2015/11,Provider_1,Plant_1,272902,271765
5,2015/12,Provider_1,Plant_1,187598,191669
6,2016/01,Provider_1,Plant_1,207441,211103
7,2016/02,Provider_1,Plant_1,248770,250988
8,2016/03,Provider_1,Plant_1,307133,307736
9,2016/04,Provider_1,Plant_1,250189,253123
10,2016/05,Provider_1,Plant_1,250636,235734
11,2016/06,Provider_1,Plant_1,303406,293804
12,2016/07,Provider_1,Plant_1,267553,261318
13,2016/08,Provider_1,Plant_1,390682,397028
14,2016/09,Provider_1,Plant_1,367790,370619
15,2016/10,Provider_1,Plant_1,334781,312235
16,2016/11,Provider_1,Plant_1,303251,299333
17,2016/12,Provider_1,Plant_1,346998,346558
18,2017/01,Provider_1,Plant_1,343830,327090
19,2017/02,Provider_1,Plant_1,337001,340503
20,2017/03,Provider_1,Plant_1,386030,369959
21,2017/04,Provider_1,Plant_1,393564,385287
22,2017/05,Provider_1,Plant_1,426304,416073
23,2017/06,Provider_1,Plant_1,417479,412873
24,2017/07,Provider_1,Plant_1,485078,483007
25,2017/08,Provider_1,Plant_1,395276,441447
26,2017/09,Provider_1,Plant_1,437875,447125
27,2017/10,Provider_1,Plant_1,316045,321257
28,2017/11,Provider_1,Plant_1,375662,363360
29,2017/12,Provider_1,Plant_1,393758,400108
30,2018/01,Provider_1,Plant_1,459844,459863
31,2018/02,Provider_1,Plant_1,360169,373682
32,2018/03,Provider_1,Plant_1,372104,387201
60,2014/01,Provider_1,Plant_3,638914,316335
61,2014/02,Provider_1,Plant_3,614865,302579
62,2014/03,Provider_1,Plant_3,686813,348203
63,2014/04,Provider_1,Plant_3,874953,417097
64,2014/05,Provider_1,Plant_3,851925,427841
65,2014/06,Provider_1,Plant_3,922566,464675
66,2014/07,Provider_1,Plant_3,631408,453068
67,2014/08,Provider_1,Plant_3,667318,504076
68,2014/09,Provider_1,Plant_3,658980,453874
69,2014/10,Provider_1,Plant_3,713469,611559
70,2014/11,Provider_1,Plant_3,572285,577048
71,2014/12,Provider_1,Plant_3,473682,477702
72,2015/01,Provider_1,Plant_3,606035,606141
73,2015/02,Provider_1,Plant_3,613019,598180
74,2015/03,Provider_1,Plant_3,733889,731024
75,2015/04,Provider_1,Plant_3,712984,699135
76,2015/05,Provider_1,Plant_3,687237,676371
77,2015/06,Provider_1,Plant_3,794760,773680
78,2015/07,Provider_1,Plant_3,736106,709976
79,2015/08,Provider_1,Plant_3,441148,438402
80,2015/09,Provider_1,Plant_3,463980,457352
81,2015/10,Provider_1,Plant_3,420588,429573
82,2015/11,Provider_1,Plant_3,368775,410148
83,2015/12,Provider_1,Plant_3,233900,229045
84,2016/01,Provider_1,Plant_3,343156,341265
85,2016/02,Provider_1,Plant_3,353044,353246
86,2016/03,Provider_1,Plant_3,315094,318655
87,2016/04,Provider_1,Plant_3,317036,317021
88,2016/05,Provider_1,Plant_3,289047,283963
89,2016/06,Provider_1,Plant_3,358537,357027
90,2016/07,Provider_1,Plant_3,350190,351557
91,2016/08,Provider_1,Plant_3,346534,341933
92,2016/09,Provider_1,Plant_3,358402,360451
93,2016/10,Provider_1,Plant_3,306587,306372
94,2016/11,Provider_1,Plant_3,259028,258203
95,2016/12,Provider_1,Plant_3,211458,211486
96,2017/01,Provider_1,Plant_3,273757,276088
97,2017/02,Provider_1,Plant_3,265093,266081
98,2017/03,Provider_1,Plant_3,288858,291924
99,2017/04,Provider_1,Plant_3,258897,263098
100,2017/05,Provider_1,Plant_3,243774,239757
101,2017/06,Provider_1,Plant_3,173531,176852
102,2017/07,Provider_1,Plant_3,158603,162871
103,2017/08,Provider_1,Plant_3,166626,179105
104,2017/09,Provider_1,Plant_3,188270,189947
105,2017/10,Provider_1,Plant_3,166583,164274
106,2017/11,Provider_1,Plant_3,167520,171714
107,2017/12,Provider_1,Plant_3,79948,83802
108,2018/01,Provider_1,Plant_3,192728,"196852,881"
109,2018/02,Provider_1,Plant_3,186569,190340
110,2018/03,Provider_1,Plant_3,155053,153576
111,2014/01,Provider_1,Plant_4,2429686,1620785
112,2014/02,Provider_1,Plant_4,2448749,1721741
113,2014/03,Provider_1,Plant_4,2329762,1708470
114,2014/04,Provider_1,Plant_4,2783064,2118230
115,2014/05,Provider_1,Plant_4,3073931,1724038
116,2014/06,Provider_1,Plant_4,2189813,1599526
117,2014/07,Provider_1,Plant_4,1307785,1077409
118,2014/08,Provider_1,Plant_4,1428796,1371839
119,2014/09,Provider_1,Plant_4,1772538,1682557
120,2014/10,Provider_1,Plant_4,1958369,1912472
121,2014/11,Provider_1,Plant_4,2062642,1964712
122,2014/12,Provider_1,Plant_4,1591337,1509435
123,2015/01,Provider_1,Plant_4,1974784,1864163
124,2015/02,Provider_1,Plant_4,2031854,1949081
125,2015/03,Provider_1,Plant_4,2133092,2159625
126,2015/04,Provider_1,Plant_4,1964746,1901991
127,2015/05,Provider_1,Plant_4,2053987,1924485
128,2015/06,Provider_1,Plant_4,2479610,2195634
129,2015/07,Provider_1,Plant_4,2538080,2251126
130,2015/08,Provider_1,Plant_4,2318382,1874753
131,2015/09,Provider_1,Plant_4,3024438,2725791
132,2015/10,Provider_1,Plant_4,3373488,2603243
133,2015/11,Provider_1,Plant_4,3784242,3237521
134,2015/12,Provider_1,Plant_4,2232825,2367956
135,2016/01,Provider_1,Plant_4,2529030,2710161
136,2016/02,Provider_1,Plant_4,3239316,3015480
137,2016/03,Provider_1,Plant_4,2825086,2644893
